1um (ug/m3),2.5um (ug/m3),10um (ug/m3),0.3um,0.5um,1.0um,2.5um,3.0um,10.0um,Fecha,Hora,Latitud,Longitud
10,13,14,1641,488,65,3,1,1,10/3/21,17:56,40.412708,-3.690960
7,13,14,1509,422,68,12,2,1,10/3/21,17:57,40.412689,-3.690942
11,14,15,1776,512,84,3,1,1,10/3/21,17:58,40.412654,-3.690953
11,15,17,1800,519,89,6,2,1,10/3/21,17:59,40.412612,-3.690980
10,15,17,1743,505,83,7,1,0,10/3/21,18:0,40.412593,-3.690977
11,15,18,1833,526,74,11,1,1,10/3/21,18:1,40.412620,-3.690977
11,15,15,1824,532,92,1,0,0,10/3/21,18:2,40.412620,-3.690984
10,14,14,1602,460,77,4,1,0,10/3/21,18:3,40.412639,-3.690984
35,75,90,8088,2374,793,140,24,14,10/3/21,18:4,40.412654,-3.690972
10,16,17,1638,493,89,5,1,0,10/3/21,18:5,40.412635,-3.690992
12,19,21,2079,587,107,9,4,1,10/3/21,18:6,40.412654,-3.690943
16,23,24,2619,775,131,7,1,0,10/3/21,18:7,40.412635,-3.690946
9,13,13,1548,455,72,5,0,0,10/3/21,18:8,40.412670,-3.690965
9,11,12,1470,421,53,4,1,0,10/3/21,18:8,40.412673,-3.690960
9,11,12,1341,393,53,4,2,2,10/3/21,18:10,40.412689,-3.690924
8,12,12,1458,407,68,3,0,0,10/3/21,18:10,40.412654,-3.690933
8,11,11,1320,389,54,1,0,0,10/3/21,18:12,40.412689,-3.690939
8,10,11,1335,377,60,3,1,1,10/3/21,18:13,40.412693,-3.690957
8,12,12,1380,391,65,4,0,0,10/3/21,18:14,40.412704,-3.690968
9,14,16,1536,451,74,9,1,1,10/3/21,18:15,40.412666,-3.690976
9,12,12,1464,420,64,3,0,0,10/3/21,18:16,40.412643,-3.690953
8,11,12,1401,412,71,3,0,0,10/3/21,18:17,40.412643,-3.690938
8,12,13,1419,411,59,7,2,2,10/3/21,18:18,40.412662,-3.690929
10,12,12,1584,430,65,1,0,0,10/3/21,18:19,40.412658,-3.690938
8,11,13,1512,419,67,4,2,2,10/3/21,18:20,40.412681,-3.690942
8,12,13,1455,389,80,4,1,1,10/3/21,18:21,40.412654,-3.690956
7,12,12,1335,376,75,4,0,0,10/3/21,18:21,40.412673,-3.690953
9,14,15,1503,433,77,6,1,1,10/3/21,18:23,40.412681,-3.690971
9,13,15,1443,423,81,5,1,1,10/3/21,18:24,40.412654,-3.690969
9,15,16,1650,468,83,4,1,1,10/3/21,18:25,40.412658,-3.690977
7,11,12,1239,361,63,4,2,0,10/3/21,18:26,40.412673,-3.690974
8,11,11,1395,390,75,2,0,0,10/3/21,18:26,40.412685,-3.690955
8,11,12,1323,371,60,7,1,1,10/3/21,18:28,40.412693,-3.690938
8,11,12,1338,384,57,2,2,1,10/3/21,18:29,40.412662,-3.690943
8,12,12,1416,406,64,4,1,0,10/3/21,18:30,40.412681,-3.690950
8,12,13,1467,411,65,6,1,0,10/3/21,18:31,40.412693,-3.690927
9,12,13,1542,456,67,4,1,1,10/3/21,18:32,40.412689,-3.690940
6,11,12,1410,399,56,8,1,1,10/3/21,18:33,40.412673,-3.690935
7,12,14,1359,375,65,12,1,0,10/3/21,18:34,40.412673,-3.690940
7,11,12,1326,360,56,3,1,1,10/3/21,18:35,40.412677,-3.690934
7,10,12,1308,375,64,3,2,1,10/3/21,18:35,40.412670,-3.690961
8,10,10,1377,384,50,0,0,0,10/3/21,18:37,40.412673,-3.690953
7,10,11,1251,340,53,7,1,0,10/3/21,18:37,40.412685,-3.690969
9,15,15,1770,483,84,4,1,0,10/3/21,18:39,40.412700,-3.690950
8,10,10,1290,360,43,2,0,0,10/3/21,18:40,40.412677,-3.690954
8,10,10,1332,369,51,3,1,0,10/3/21,18:41,40.412689,-3.690934
7,11,12,1203,358,54,5,1,1,10/3/21,18:42,40.412673,-3.690967
9,12,12,1530,433,57,4,0,0,10/3/21,18:43,40.412673,-3.690962
8,12,12,1413,409,56,6,0,0,10/3/21,18:44,40.412673,-3.690924
8,11,11,1404,385,68,3,0,0,10/3/21,18:45,40.412654,-3.690912
5,11,11,1290,360,62,7,0,0,10/3/21,18:46,40.412643,-3.690930
7,10,11,1359,375,51,5,1,1,10/3/21,18:47,40.412673,-3.690962
7,10,10,1296,358,51,2,0,0,10/3/21,18:48,40.412685,-3.690954
8,10,12,1335,385,51,4,2,1,10/3/21,18:49,40.412715,-3.690932
8,11,12,1263,372,62,4,1,1,10/3/21,18:50,40.412727,-3.690945
10,13,13,1545,458,68,3,0,0,10/3/21,18:51,40.412700,-3.690946
10,16,16,1725,492,76,4,1,1,10/3/21,18:52,40.412696,-3.690937
10,12,12,1479,439,58,4,1,1,10/3/21,18:53,40.412727,-3.690934
12,20,23,2301,625,107,16,2,1,10/3/21,18:54,40.412712,-3.690937
9,12,15,1494,430,69,8,1,1,10/3/21,18:55,40.412693,-3.690960
8,13,14,1401,400,70,5,2,1,10/3/21,18:56,40.412704,-3.690969
8,10,10,1275,357,49,2,0,0,10/3/21,18:57,40.412715,-3.690943
5,9,9,1146,313,49,2,1,1,10/3/21,18:58,40.412704,-3.690943
7,10,10,1275,350,48,3,0,0,10/3/21,18:59,40.412673,-3.690939
8,11,11,1422,377,59,6,0,0,10/3/21,19:0,40.412681,-3.690937
