1um (ug/m3),2.5um (ug/m3),10um (ug/m3),0.3um,0.5um,1.0um,2.5um,3.0um,10.0um,Fecha,Hora,Latitud,Longitud
8,11,12,1590,440,52,6,0,0,4/4/21,17:50,0.000000,0.000000
8,12,15,1611,455,80,8,2,2,4/4/21,17:53,40.433193,-3.736027
9,12,13,1590,466,72,5,1,1,4/4/21,17:55,40.433238,-3.736066
7,10,12,1452,400,78,3,1,1,4/4/21,17:57,40.433265,-3.735999
9,13,19,1668,471,76,15,7,7,4/4/21,18:1,40.433227,-3.736082
8,12,13,1626,450,67,8,1,1,4/4/21,18:2,40.433242,-3.736097
8,11,11,1596,439,63,2,0,0,4/4/21,18:4,40.433216,-3.736093
8,11,12,1551,439,71,3,1,1,4/4/21,18:4,40.433216,-3.736097
8,11,12,1476,431,71,2,1,1,4/4/21,18:5,40.433223,-3.736094
8,13,15,1593,450,99,6,3,0,4/4/21,18:6,40.433235,-3.736095
9,14,16,1719,486,114,4,3,1,4/4/21,18:6,40.433227,-3.736078
8,12,15,1476,437,77,12,3,2,4/4/21,18:6,40.433227,-3.736101
7,9,10,1422,401,43,4,1,1,4/4/21,18:7,40.433227,-3.736102
8,11,11,1569,437,66,3,0,0,4/4/21,18:7,40.433227,-3.736101
8,11,12,1485,420,70,2,1,1,4/4/21,18:8,40.433223,-3.736093
8,11,11,1557,430,66,2,0,0,4/4/21,18:9,40.433212,-3.736111
9,13,13,1686,487,76,5,0,0,4/4/21,18:9,40.433227,-3.736117
9,13,14,1779,504,78,5,1,0,4/4/21,18:9,40.433227,-3.736108
7,13,14,1497,438,92,10,1,0,4/4/21,18:9,40.433227,-3.736107
7,15,15,1539,449,90,16,0,0,4/4/21,18:9,40.433212,-3.736101
8,11,14,1431,428,68,9,4,2,4/4/21,18:10,40.433200,-3.736111
9,13,16,1608,477,81,10,4,2,4/4/21,18:10,40.433208,-3.736117
9,13,13,1680,488,82,4,0,0,4/4/21,18:11,40.433197,-3.736094
8,12,12,1578,438,80,5,0,0,4/4/21,18:11,40.433197,-3.736094
8,12,13,1698,471,69,3,1,1,4/4/21,18:11,40.433200,-3.736109
9,13,13,1812,509,76,5,0,0,4/4/21,18:12,40.433208,-3.736080
9,14,15,1791,527,86,7,1,1,4/4/21,18:12,40.433204,-3.736083
8,11,12,1662,453,70,6,1,1,4/4/21,18:12,40.433204,-3.736083
7,10,12,1572,410,62,4,3,2,4/4/21,18:12,40.433208,-3.736079
7,13,15,1491,407,83,11,3,1,4/4/21,18:13,40.433231,-3.736102
8,12,14,1548,425,73,12,3,2,4/4/21,18:13,40.433223,-3.736106
9,12,13,1620,443,72,9,2,2,4/4/21,18:14,40.433208,-3.736108
9,12,12,1665,464,70,5,0,0,4/4/21,18:14,40.433208,-3.736106
8,11,11,1539,448,54,3,1,0,4/4/21,18:14,40.433208,-3.736087
9,12,14,1623,463,80,6,2,2,4/4/21,18:15,40.433216,-3.736079
9,13,14,1719,481,78,6,2,2,4/4/21,18:15,40.433204,-3.736078
8,13,13,1629,471,64,9,0,0,4/4/21,18:16,40.433216,-3.736051
9,13,13,1605,475,73,5,0,0,4/4/21,18:16,40.433216,-3.736051
9,13,16,1638,467,85,11,3,0,4/4/21,18:16,40.433208,-3.736055
9,13,18,1680,475,79,17,4,1,4/4/21,18:17,40.433200,-3.736068
8,13,18,1626,470,77,16,4,1,4/4/21,18:17,40.433200,-3.736070
9,16,19,1761,495,95,16,4,4,4/4/21,18:18,40.433227,-3.736064
9,14,17,1854,522,85,11,1,0,4/4/21,18:18,40.433238,-3.736069
10,14,17,1908,548,76,8,3,2,4/4/21,18:18,40.433238,-3.736071
