1um (ug/m3),2.5um (ug/m3),10um (ug/m3),0.3um,0.5um,1.0um,2.5um,3.0um,10.0um,Fecha,Hora,Latitud,Longitud
4,6,6,897,237,43,3,0,0,11/3/21,17:55,0.000000,0.000000
3,4,5,774,203,29,1,1,1,11/3/21,17:56,40.400871,-3.724634
5,6,6,1014,276,32,1,0,0,11/3/21,17:57,40.400878,-3.724680
4,6,6,894,268,21,4,0,0,11/3/21,17:58,40.400863,-3.724652
5,6,7,1023,291,33,3,0,0,11/3/21,17:59,40.400840,-3.724587
4,5,5,888,224,29,1,0,0,11/3/21,18:0,40.400859,-3.724639
5,6,6,1095,285,32,1,0,0,11/3/21,18:1,40.400878,-3.724647
5,7,7,912,259,54,2,0,0,11/3/21,18:2,40.400871,-3.724637
4,6,6,1020,258,38,2,0,0,11/3/21,18:3,40.400878,-3.724627
6,7,8,1206,345,37,1,1,0,11/3/21,18:4,40.400878,-3.724658
7,9,9,1440,403,33,2,0,0,11/3/21,18:5,40.400863,-3.724662
4,7,8,1113,283,39,4,1,1,11/3/21,18:6,40.400859,-3.724639
5,7,7,1128,299,36,0,0,0,11/3/21,18:7,40.400875,-3.724632
5,6,6,936,261,49,3,0,0,11/3/21,18:8,40.400871,-3.724627
3,5,5,738,201,31,3,1,0,11/3/21,18:9,40.400863,-3.724611
3,5,5,774,207,30,0,0,0,11/3/21,18:10,40.400917,-3.724629
6,8,8,1386,366,38,1,0,0,11/3/21,18:11,40.400897,-3.724625
5,7,7,939,263,43,2,0,0,11/3/21,18:12,40.400905,-3.724610
5,7,7,1008,282,41,1,0,0,11/3/21,18:13,40.400901,-3.724612
3,5,5,777,210,23,0,0,0,11/3/21,18:14,40.400875,-3.724618
4,5,5,831,232,20,0,0,0,11/3/21,18:15,40.400894,-3.724606
4,6,7,969,256,41,2,0,0,11/3/21,18:16,40.400897,-3.724611
5,7,7,1074,286,41,1,0,0,11/3/21,18:17,40.400913,-3.724604
5,7,7,1026,289,36,4,0,0,11/3/21,18:18,40.400917,-3.724603
4,5,5,852,227,28,1,0,0,11/3/21,18:19,40.400932,-3.724601
4,6,6,867,245,30,2,0,0,11/3/21,18:20,40.400924,-3.724604
5,7,7,1074,309,45,0,0,0,11/3/21,18:21,40.400920,-3.724586
5,6,6,1020,275,37,2,0,0,11/3/21,18:22,40.400878,-3.724618
5,7,7,1071,302,28,2,0,0,11/3/21,18:23,40.400913,-3.724632
5,6,7,1011,272,32,1,1,1,11/3/21,18:24,40.400905,-3.724637
5,5,7,1029,278,24,2,2,2,11/3/21,18:25,40.400886,-3.724634
5,9,9,1161,334,48,1,0,0,11/3/21,18:26,40.400882,-3.724633
5,6,6,1044,271,43,0,0,0,11/3/21,18:27,40.400886,-3.724646
6,8,8,1152,337,42,1,0,0,11/3/21,18:28,40.400867,-3.724652
5,6,6,1008,289,30,1,0,0,11/3/21,18:29,40.400875,-3.724644
5,7,7,939,257,50,1,0,0,11/3/21,18:30,40.400882,-3.724639
5,7,8,1194,313,27,3,1,1,11/3/21,18:31,40.400901,-3.724648
7,10,10,1407,400,45,0,0,0,11/3/21,18:32,40.400886,-3.724642
7,12,12,1362,395,59,4,0,0,11/3/21,18:33,40.400878,-3.724660
6,8,8,1281,352,37,1,0,0,11/3/21,18:34,40.400871,-3.724643
7,9,9,1413,392,34,4,0,0,11/3/21,18:35,40.400894,-3.724645
8,13,13,1620,446,62,4,0,0,11/3/21,18:36,40.400882,-3.724646
7,11,11,1464,385,54,2,0,0,11/3/21,18:37,40.400890,-3.724634
7,10,10,1296,367,49,7,0,0,11/3/21,18:38,40.400897,-3.724627
6,9,9,1392,368,55,1,0,0,11/3/21,18:39,40.400897,-3.724632
6,9,9,1260,357,49,3,1,0,11/3/21,18:40,40.400917,-3.724635
5,7,9,1122,310,55,4,1,1,11/3/21,18:41,40.400901,-3.724631
7,9,11,1452,409,42,2,1,1,11/3/21,18:42,40.400920,-3.724628
6,11,11,1338,377,46,5,0,0,11/3/21,18:43,40.400901,-3.724627
6,8,8,1233,333,44,2,0,0,11/3/21,18:44,40.400897,-3.724621
6,8,8,1149,322,47,1,0,0,11/3/21,18:45,40.400920,-3.724609
7,11,12,1269,371,56,4,2,0,11/3/21,18:46,40.400913,-3.724623
6,9,9,1215,354,52,4,0,0,11/3/21,18:47,40.400890,-3.724626
6,9,11,1296,361,58,3,2,2,11/3/21,18:48,40.400924,-3.724611
6,9,9,1239,327,58,2,0,0,11/3/21,18:49,40.400932,-3.724617
22,40,49,3492,1077,307,48,4,2,11/3/21,18:50,40.400936,-3.724618
6,7,7,1077,300,37,2,0,0,11/3/21,18:51,40.400951,-3.724627
6,7,8,1197,353,40,1,0,0,11/3/21,18:52,40.400943,-3.724632
5,8,10,1095,301,46,6,1,1,11/3/21,18:53,40.400936,-3.724628
6,8,8,1233,339,49,1,0,0,11/3/21,18:54,40.400936,-3.724627
5,8,10,1110,307,50,4,1,1,11/3/21,18:55,40.400959,-3.724629
7,12,12,1374,378,59,12,0,0,11/3/21,18:56,40.400947,-3.724633
5,8,10,1194,337,43,6,1,1,11/3/21,18:57,40.400951,-3.724634
7,9,9,1335,371,53,1,0,0,11/3/21,18:58,40.400936,-3.724623
6,9,9,1239,351,51,3,0,0,11/3/21,18:59,40.400928,-3.724632
6,7,8,1140,323,41,2,1,1,11/3/21,19:0,40.400917,-3.724619
7,12,13,1467,436,61,7,1,1,11/3/21,19:1,40.400913,-3.724632
7,13,14,1521,419,75,9,1,0,11/3/21,19:2,40.400897,-3.724621
6,8,8,1188,326,46,0,0,0,11/3/21,19:3,40.400917,-3.724617
5,7,7,1089,301,44,2,0,0,11/3/21,19:4,40.400901,-3.724614
6,10,10,1152,320,59,2,0,0,11/3/21,19:5,40.400901,-3.724613
6,10,11,1305,345,55,3,1,1,11/3/21,19:6,40.400905,-3.724612
6,10,11,1230,348,50,4,2,1,11/3/21,19:7,40.400901,-3.724613
